instance,name,num,n_tasks,n_workers,UB,gurobi_ct,gurobi_time,ils_replications,ils_avg_initial_ct,ils_avg_final_ct,ils_best_ct,ils_worst_ct,ils_avg_time,ils_improvement_pct
1_hes,heskia,1,28,4,94.0,94,0.23,5,204.00,100.00,94,124,12.06,50.98
2_hes,heskia,2,28,4,95.0,95,0.37,5,123.80,95.00,95,95,2.36,23.26
11_hes,heskia,11,28,4,169.0,169,0.29,5,506.20,174.20,172,180,38.03,65.59
12_hes,heskia,12,28,4,107.0,107,0.23,5,193.60,108.20,107,113,16.62,44.11
41_hes,heskia,41,28,7,35.0,35,0.99,5,61.00,35.60,35,38,37.38,41.64
42_hes,heskia,42,28,7,40.0,40,1.72,5,133.00,40.00,40,40,32.42,69.92
51_hes,heskia,51,28,7,51.0,51,2.43,5,168.00,51.00,51,51,13.28,69.64
52_hes,heskia,52,28,7,50.0,50,2.11,5,118.20,50.20,50,51,41.79,57.53
61_hes,heskia,61,28,7,66.0,66,1.84,5,168.20,66.00,66,66,6.95,60.76
62_hes,heskia,62,28,7,56.0,56,1.64,5,166.20,56.00,56,56,15.61,66.31
71_hes,heskia,71,28,7,91.0,91,0.88,5,134.00,91.00,91,91,0.47,32.09
72_hes,heskia,72,28,7,65.0,65,2.63,5,147.40,68.80,65,72,84.16,53.32
1_ros,roszieg,1,25,4,20.0,20,0.17,5,83.00,20.60,20,21,6.73,75.18
2_ros,roszieg,2,25,4,22.0,22,0.14,5,66.00,22.40,22,23,6.77,66.06
11_ros,roszieg,11,25,4,30.0,30,0.12,5,80.00,26.80,26,30,6.93,66.50
12_ros,roszieg,12,25,4,27.0,27,0.15,5,67.20,25.80,25,27,5.39,61.61
41_ros,roszieg,41,25,6,10.0,10,1.02,5,23.60,10.00,10,10,1.56,57.63
42_ros,roszieg,42,25,6,10.0,10,1.18,5,25.60,10.00,10,10,6.11,60.94
51_ros,roszieg,51,25,6,11.0,11,0.51,5,63.40,11.20,11,12,6.01,82.33
52_ros,roszieg,52,25,6,10.0,10,0.67,5,49.40,10.00,10,10,3.44,79.76
61_ros,roszieg,61,25,6,16.0,16,0.88,5,36.20,16.00,16,16,3.12,55.80
62_ros,roszieg,62,25,6,13.0,13,0.89,5,27.20,13.00,13,13,0.86,52.21
71_ros,roszieg,71,25,6,15.0,15,1.13,5,25.80,15.00,15,15,2.76,41.86
72_ros,roszieg,72,25,6,16.0,16,0.77,5,29.60,16.00,16,16,0.64,45.95
1_ton,tonge,1,70,10,87.0,,0.19,5,1406.20,96.40,96,97,327.48,93.14
2_ton,tonge,2,70,10,87.0,,0.19,5,1464.00,97.40,96,101,313.92,93.35
11_ton,tonge,11,70,10,110.0,,0.21,5,1833.20,118.00,112,122,208.33,93.56
12_ton,tonge,12,70,10,108.0,,0.21,5,1501.80,117.00,111,121,205.23,92.21
41_ton,tonge,41,70,17,28.0,,0.45,5,1574.80,38.60,37,42,497.57,97.55
42_ton,tonge,42,70,17,32.0,,0.43,5,1120.60,43.60,42,46,480.47,96.11
51_ton,tonge,51,70,17,35.0,,0.48,5,1777.00,43.00,39,46,376.50,97.58
52_ton,tonge,52,70,17,43.0,,0.47,5,1578.40,50.40,48,54,395.96,96.81
61_ton,tonge,61,70,17,61.0,,0.45,5,1154.00,81.20,78,86,484.86,92.96
62_ton,tonge,62,70,17,66.0,,0.44,5,1169.80,87.20,87,88,491.97,92.55
71_ton,tonge,71,70,17,54.0,,0.45,5,1127.00,77.00,74,83,477.35,93.17
72_ton,tonge,72,70,17,57.0,,0.45,5,966.20,82.60,77,88,458.76,91.45
1_wee,wee-mag,1,75,11,25.0,,0.24,5,97.80,31.00,28,32,500.12,68.30
2_wee,wee-mag,2,75,11,26.0,,0.24,5,102.80,30.20,29,31,500.12,70.62
11_wee,wee-mag,11,75,11,29.0,,0.26,5,198.00,32.40,30,34,500.10,83.64
12_wee,wee-mag,12,75,11,30.0,,0.25,5,173.60,35.20,34,37,500.12,79.72
41_wee,wee-mag,41,75,19,10.0,,0.59,5,30.80,13.20,12,14,500.13,57.14
42_wee,wee-mag,42,75,19,9.0,,0.58,5,40.00,13.60,13,14,500.11,66.00
51_wee,wee-mag,51,75,19,12.0,,0.61,5,111.40,15.00,15,15,500.10,86.54
52_wee,wee-mag,52,75,19,9.0,,0.61,5,114.20,12.80,12,13,500.13,88.79
61_wee,wee-mag,61,75,19,15.0,,0.59,5,54.60,20.60,20,21,500.13,62.27
62_wee,wee-mag,62,75,19,18.0,,0.59,5,56.20,21.60,20,23,500.13,61.57
71_wee,wee-mag,71,75,19,18.0,,0.60,5,66.40,23.60,23,25,500.15,64.46
72_wee,wee-mag,72,75,19,16.0,,0.60,5,50.20,22.60,22,24,500.11,54.98
